srcStateName,srcYear,Base Year - 2011-12,Price type,Net State Domestic Product ( NSDP ) at factor cost for the base year 2011-12,YearCode,Year
TAMIL NADU,2014-15,2011-12,Constant Price,713000.72,2014,"Financial Year (Apr - Mar), 2014"
KARNATAKA,2014-15,2011-12,Current Price,743175.3899,2014,"Financial Year (Apr - Mar), 2014"
ORISSA,2014-15,2011-12,Current Price,255875.1046,2014,"Financial Year (Apr - Mar), 2014"
CHHATTISGARH,2014-15,2011-12,Constant Price,154774.34,2014,"Financial Year (Apr - Mar), 2014"
MAHARASHTRA,2014-15,2011-12,Current Price,1361015.825,2014,"Financial Year (Apr - Mar), 2014"
GUJARAT,2014-15,2011-12,Current Price,707224.5299,2014,"Financial Year (Apr - Mar), 2014"
MADHYA PRADESH,2014-15,2011-12,Constant Price,318942.0,2014,"Financial Year (Apr - Mar), 2014"
TRIPURA,2014-15,2011-12,Current Price,25974.91,2014,"Financial Year (Apr - Mar), 2014"
HARYANA,2014-15,2011-12,Constant Price,297793.8541,2014,"Financial Year (Apr - Mar), 2014"
CHANDIGARH,2014-15,2011-12,Current Price,23474.61,2014,"Financial Year (Apr - Mar), 2014"
MEGHALAYA,2014-15,2011-12,Current Price,19490.0795,2014,"Financial Year (Apr - Mar), 2014"
SIKKIM,2014-15,2011-12,Constant Price,10960.28,2014,"Financial Year (Apr - Mar), 2014"
KERALA,2014-15,2011-12,Current Price,419859.4681,2014,"Financial Year (Apr - Mar), 2014"
ANDHRA PRADESH,2014-15,2011-12,Constant Price,359510.83,2014,"Financial Year (Apr - Mar), 2014"
KERALA,2014-15,2011-12,Constant Price,348048.3255,2014,"Financial Year (Apr - Mar), 2014"
RAJASTHAN,2014-15,2011-12,Constant Price,437602.58,2014,"Financial Year (Apr - Mar), 2014"
MANIPUR,2014-15,2011-12,Current Price,16012.6,2014,"Financial Year (Apr - Mar), 2014"
MADHYA PRADESH,2014-15,2011-12,Current Price,405288.0,2014,"Financial Year (Apr - Mar), 2014"
DELHI,2014-15,2011-12,Current Price,387924.7328,2014,"Financial Year (Apr - Mar), 2014"
SIKKIM,2014-15,2011-12,Current Price,12993.98,2014,"Financial Year (Apr - Mar), 2014"
KARNATAKA,2014-15,2011-12,Constant Price,606798.719,2014,"Financial Year (Apr - Mar), 2014"
GUJARAT,2014-15,2011-12,Constant Price,612710.7703,2014,"Financial Year (Apr - Mar), 2014"
NAGALAND,2014-15,2011-12,Current Price,15947.6901,2014,"Financial Year (Apr - Mar), 2014"
HARYANA,2014-15,2011-12,Current Price,355719.7513,2014,"Financial Year (Apr - Mar), 2014"
JHARKHAND,2014-15,2011-12,Constant Price,155290.57,2014,"Financial Year (Apr - Mar), 2014"
UTTAR PRADESH,2014-15,2011-12,Current Price,829001.84,2014,"Financial Year (Apr - Mar), 2014"
DELHI,2014-15,2011-12,Constant Price,335131.3552,2014,"Financial Year (Apr - Mar), 2014"
PUNJAB,2014-15,2011-12,Constant Price,256453.18,2014,"Financial Year (Apr - Mar), 2014"
WEST BENGAL,2014-15,2011-12,Constant Price,497864.0,2014,"Financial Year (Apr - Mar), 2014"
