srcStateName,Base Year - 2011-12,srcYear,Price type,Per capita net state domestic product for the base year 2011-12,YearCode,Year
ARUNACHAL PRADESH,2011-12,2014-15,Current Prices,114789.00,2014,"Financial Year (Apr - Mar), 2014"
MIZORAM,2011-12,2014-15,Current Prices,103049.10,2014,"Financial Year (Apr - Mar), 2014"
NAGALAND,2011-12,2014-15,Constant Prices,60371.82,2014,"Financial Year (Apr - Mar), 2014"
WEST BENGAL,2011-12,2014-15,Current Prices,68876.00,2014,"Financial Year (Apr - Mar), 2014"
NAGALAND,2011-12,2014-15,Current Prices,78367.01,2014,"Financial Year (Apr - Mar), 2014"
ORISSA,2011-12,2014-15,Constant Prices,55122.72,2014,"Financial Year (Apr - Mar), 2014"
ORISSA,2011-12,2014-15,Current Prices,64232.94,2014,"Financial Year (Apr - Mar), 2014"
WEST BENGAL,2011-12,2014-15,Constant Prices,54520.00,2014,"Financial Year (Apr - Mar), 2014"
PUNJAB,2011-12,2014-15,Constant Prices,95807.00,2014,"Financial Year (Apr - Mar), 2014"
PUNJAB,2011-12,2014-15,Current Prices,108970.00,2014,"Financial Year (Apr - Mar), 2014"
RAJASTHAN,2011-12,2014-15,Constant Prices,64496.00,2014,"Financial Year (Apr - Mar), 2014"
UTTARAKHAND,2011-12,2014-15,Current Prices,136099.00,2014,"Financial Year (Apr - Mar), 2014"
RAJASTHAN,2011-12,2014-15,Current Prices,76429.00,2014,"Financial Year (Apr - Mar), 2014"
SIKKIM,2011-12,2014-15,Constant Prices,180675.00,2014,"Financial Year (Apr - Mar), 2014"
SIKKIM,2011-12,2014-15,Current Prices,214148.00,2014,"Financial Year (Apr - Mar), 2014"
TAMIL NADU,2011-12,2015-16,Constant Prices,115875.00,2015,"Financial Year (Apr - Mar), 2015"
ARUNACHAL PRADESH,2011-12,2015-16,Constant Prices,88768.18,2015,"Financial Year (Apr - Mar), 2015"
HIMACHAL PRADESH,2011-12,2015-16,Current Prices,135512.13,2015,"Financial Year (Apr - Mar), 2015"
BIHAR,2011-12,2015-16,Constant Prices,24064.26,2015,"Financial Year (Apr - Mar), 2015"
DELHI,2011-12,2015-16,Constant Prices,233115.33,2015,"Financial Year (Apr - Mar), 2015"
MEGHALAYA,2011-12,2015-16,Current Prices,68835.70,2015,"Financial Year (Apr - Mar), 2015"
SIKKIM,2011-12,2015-16,Constant Prices,195066.00,2015,"Financial Year (Apr - Mar), 2015"
ORISSA,2011-12,2015-16,Current Prices,65992.52,2015,"Financial Year (Apr - Mar), 2015"
KERALA,2011-12,2015-16,Constant Prices,120386.55,2015,"Financial Year (Apr - Mar), 2015"
CHANDIGARH,2011-12,2015-16,Current Prices,230008.94,2015,"Financial Year (Apr - Mar), 2015"
